geoid,county_name,state_name,year,median_income,poverty_count,population,unemployed_count,mental_health_prevalence,lower_ci,upper_ci,total_population,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,geometry
17051,Fayette,Illinois,2019,46650,3421,21565,525,17.0,15.7,18.3,"21,336",310.8471896968729,218.65082332047163,91.625462090566,0.34573411306692237,0.225170172768294,0.0,0.0,97.81725633692433,57.16193962347398,43.22089391855747,0.0,11.946166001048528,181.64121333684628,117.03464018620974,0.225170172768294,POINT (-89.02422026 39.00018837)
17107,Logan,Illinois,2019,57308,2323,29003,738,14.9,13.6,16.2,"28,618",347.7522030648916,214.2806798386478,132.97887682934606,0.38126790397072113,0.1113784929269809,0.0,0.0,98.35569125631945,61.04318942229235,45.71683172296586,0.0,8.796758393598642,152.89456245977016,185.9495037185958,0.1113784929269809,POINT (-89.36756428 40.12456067)
17165,Saline,Illinois,2019,44090,4936,23994,816,17.3,15.8,19.0,"23,491",307.2171895762451,228.79488540673913,78.20852222250687,0.21378194699915676,0.0,0.0,0.0,89.62511442965273,56.144274791862195,43.475657945521206,0.0,0.19699049933229257,201.88708436195134,102.6677708105553,2.465343904406281,POINT (-88.54097347 37.75324113)
17097,Lake,Illinois,2019,89427,54273,701473,19357,12.0,11.0,13.0,"696,535",245.0,210.0,33.0,2.0,0.0,0.0,0.0,115.0,58.0,40.0,0.0,0.0,245.0,0.0,0.0,POINT (-88.0038997 42.32324586)
17127,Massac,Illinois,2019,47481,2331,14219,259,16.9,15.4,18.1,"13,772",298.83270588109394,208.99867158052695,89.76912872217716,0.06490557838984455,0.0,0.0,0.0,86.71470360383738,56.644051695327654,44.08106760739938,0.0,0.6852155592285009,169.27758802869593,124.71392514407148,4.155977149098048,POINT (-88.70788222 37.21907548)
17017,Cass,Illinois,2019,52373,1822,12493,414,15.5,14.3,16.5,"12,147",317.6542956786008,211.83235376056902,105.20795760227342,0.46521911370759195,0.1487652020508198,0.0,0.0,98.84296025391471,59.35526861879077,43.830278082351526,0.0,12.958544213154251,158.4344766193992,146.1125096439966,0.1487652020508198,POINT (-90.24733059 39.97361133)
18069,Huntington,Indiana,2019,53632,3809,36359,532,15.9,14.5,17.4,"36,520",355.0,345.0,10.0,0.0,0.0,0.0,0.0,84.0,44.0,31.0,0.0,0.0,355.0,0.0,0.0,POINT (-85.48824811 40.82911501)
18181,White,Indiana,2019,54576,2198,24149,465,16.0,14.7,17.3,"24,102",358.52933501188545,260.4956253791632,97.08868996548715,0.9450196672350613,0.0,0.0,0.0,97.18992021282716,58.39599273771617,41.08909154024354,0.0,0.1576462650453181,214.6440688193734,142.40516573133596,1.3224541961307636,POINT (-86.86541019 40.74992374)
18075,Jay,Indiana,2019,47658,2887,20840,376,17.7,16.2,19.1,"20,436",319.9666264065797,238.49561194904237,81.27535061732232,0.19566384021497882,0.0,0.0,0.0,86.17916645039998,56.34080017175786,40.490444058084755,0.0,0.0,194.1954462463767,125.77118016020295,0.0,POINT (-85.00574195 40.43787862)
18145,Shelby,Indiana,2019,60404,4903,44438,820,16.2,14.6,17.7,"44,729",365.0,338.0,27.0,0.0,0.0,0.0,0.0,84.0,49.0,36.0,0.0,0.0,365.0,0.0,0.0,POINT (-85.79159084 39.52322427)
18153,Sullivan,Indiana,2019,50245,2209,20730,440,16.8,15.5,18.1,"20,669",116.0,73.0,43.0,0.0,0.0,0.0,0.0,81.0,58.0,41.0,0.0,0.0,0.0,116.0,0.0,POINT (-87.4140086 39.0890832)
18157,Tippecanoe,Indiana,2019,53130,32662,191553,4129,14.8,13.6,16.2,"195,732",351.0,210.0,141.0,0.0,0.0,0.0,0.0,78.0,61.0,43.0,0.0,0.0,0.0,351.0,0.0,POINT (-86.8940701 40.38870976)
18057,Hamilton,Indiana,2019,98173,14700,323117,4891,11.7,10.4,12.9,"338,011",365.0,214.0,149.0,2.0,0.0,0.0,0.0,119.0,64.0,47.0,0.0,0.0,145.0,220.0,0.0,POINT (-86.05178886 40.07241804)
18005,Bartholomew,Indiana,2019,63431,10859,82481,1768,14.2,12.7,15.6,"83,779",364.0,256.0,108.0,0.0,0.0,0.0,0.0,77.0,58.0,44.0,0.0,0.0,203.0,161.0,0.0,POINT (-85.89759541 39.20600189)
18049,Fulton,Indiana,2019,52034,2442,20096,414,16.2,14.9,17.6,"19,974",358.4127401695192,270.20336540861445,87.40372058310614,0.8056541777985912,0.0,0.0,0.0,96.66298618781957,57.18970550826243,39.82899119934757,0.0,0.0,221.59979600388758,135.77027215625637,1.0426720093752264,POINT (-86.26359212 41.04708011)
18113,Noble,Indiana,2019,56789,3453,47506,943,15.8,14.5,17.1,"47,744",344.8503950429911,248.75165339012946,95.62912313006028,0.46961852280132904,0.0,0.0,0.0,94.58764323499868,57.583931215050804,41.207183289002685,0.0,0.0,186.15789870468845,158.69249633830262,0.0,POINT (-85.41728883 41.39833847)
18019,Clark,Indiana,2019,55630,11544,116507,2984,15.8,14.4,17.1,"118,302",365.0,225.0,139.0,1.0,0.0,0.0,0.0,101.0,62.0,45.0,0.0,0.0,194.0,171.0,0.0,POINT (-85.7071025 38.47741387)
18063,Hendricks,Indiana,2019,81933,8021,163799,3239,13.5,12.1,14.8,"170,311",361.0,348.0,13.0,0.0,0.0,0.0,0.0,93.0,47.0,34.0,0.0,0.0,361.0,0.0,0.0,POINT (-86.5100815 39.76976097)
18053,Grant,Indiana,2019,44356,10953,66452,2250,17.3,15.8,18.6,"65,769",340.34139246348496,256.2024231346695,83.6562064005859,0.4827629282295443,0.0,0.0,0.0,92.4494190855325,55.774894300491134,40.09859351629643,0.0,0.0,216.55506272400245,123.78632973948248,0.0,POINT (-85.65457061 40.51580434)
18071,Jackson,Indiana,2019,51250,6268,44025,939,16.5,15.1,17.9,"44,231",360.0,340.0,20.0,0.0,0.0,0.0,0.0,80.0,47.0,35.0,0.0,0.0,360.0,0.0,0.0,POINT (-86.03795352 38.90660897)
18119,Owen,Indiana,2019,49543,3154,20835,555,17.7,16.2,19.1,"20,799",335.07184107239846,249.864739922199,84.85223091309632,0.354870237103149,0.0,0.0,0.0,85.10502704671896,55.514407256784786,41.1668660221418,0.0,0.0,205.3217811141958,129.75005995820266,0.0,POINT (-86.83767189 39.31265802)
18183,Whitley,Indiana,2019,61741,3213,33730,644,15.5,14.1,17.1,"33,964",352.0,213.0,139.0,0.0,0.0,0.0,0.0,91.0,60.0,43.0,0.0,0.0,0.0,352.0,0.0,POINT (-85.50505034 41.13930903)
18023,Clinton,Indiana,2019,54286,3916,32273,611,16.0,14.8,17.3,"32,399",358.21801078635224,264.60349629799646,92.91645785365435,0.6980566347014171,0.0,0.0,0.0,95.8075421287403,56.04580682625607,40.968927711541966,0.0,0.0,231.7719114484497,126.44609933790248,0.0,POINT (-86.47534877 40.30196661)
