Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Latitude,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation
2018,AL,Alabama,Autauga,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,15.8,,,14.3,17.3,"55,601",32.5350198,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-86.64301145 32.5350198)
2018,AL,Alabama,Baldwin,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,14.8,,,13.3,16.4,"218,022",30.72811673,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-87.72275422 30.72811673)
2018,AL,Alabama,Barbour,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,19,,,17.6,20.5,"24,881",31.86925212,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.39330307 31.86925212)
2018,AL,Alabama,Bibb,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.1,,,15.9,18.5,"22,400",32.99854412,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-87.12653219 32.99854412)
2018,AL,Alabama,Blount,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.1,,,15.5,18.8,"57,840",33.98070621,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-86.56784586 33.98070621)
2018,AL,Alabama,Bullock,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.2,,,16.6,19.7,"10,138",32.10044482,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.71563262 32.10044482)
2018,AL,Alabama,Butler,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.5,,,17.1,19.8,"19,680",31.75259734,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-86.68030416 31.75259734)
2018,AL,Alabama,Calhoun,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.8,,,16.2,19.4,"114,277",33.77170768,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.82579874 33.77170768)
2018,AL,Alabama,Chambers,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,17.6,,,16.2,18.9,"33,615",32.91401536,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.39238495 32.91401536)
2018,AL,Alabama,Cherokee,BRFSS,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,18.1,,,16.3,19.9,"26,032",34.17572884,HLTHOUT,MHLTH,AgeAdjPrv,Mental Health,POINT (-85.60387093 34.17572884)
