"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2020","AR","Arkansas","Cross","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.9",,,"16.8","19.0","16,142","05037","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-90.7639835 35.2856921)"
"2020","AR","Arkansas","Logan","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.6",,,"16.5","18.8","21,410","05083","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-93.7209102 35.2186538)"
"2020","AL","Alabama","Cullman","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.2",,,"15.9","18.5","84,515","01043","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-86.8692666 34.1319229)"
"2020","AL","Alabama","Etowah","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.5",,,"16.4","18.7","102,371","01055","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-86.0342629 34.0476407)"
"2020","CA","California","Alameda","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","12.6",,,"11.9","13.3","1,662,323","06001","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-121.912488 37.6471385)"
"2020","CA","California","Modoc","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","16.9",,,"15.8","18.0","8,763","06049","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-120.7183704 41.5929185)"
"2020","CO","Colorado","Crowley","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","14.2",,,"13.5","15.1","5,696","08025","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-103.7727363 38.3061801)"
"2020","CO","Colorado","Jackson","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","14.5",,,"13.4","15.6","1,389","08057","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-106.3292476 40.6634319)"
"2020","AK","Alaska","Wrangell","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","13.6",,,"12.9","14.4","2,510","02275","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-132.0267878 56.1807793)"
"2020","AL","Alabama","DeKalb","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","18.3",,,"17.0","19.4","71,658","01049","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-85.8040207 34.4609148)"
"2020","AR","Arkansas","Mississippi","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.9",,,"16.9","18.9","40,066","05093","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-90.0522072 35.7669437)"
"2020","AR","Arkansas","Arkansas","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.5",,,"16.4","18.5","17,383","05001","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-91.3765466 34.2895697)"
"2020","CO","Colorado","Kit Carson","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","15.5",,,"14.4","16.5","7,121","08063","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-102.6030226 39.3053399)"
"2020","AK","Alaska","Yakutat","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","13.7",,,"13.1","14.4","637","02282","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-140.416942 60.0174528)"
"2020","CO","Colorado","Gunnison","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","13.5",,,"12.4","14.7","17,593","08051","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-107.0568798 38.6704993)"
"2020","CO","Colorado","Boulder","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","12.8",,,"11.7","14.0","327,171","08013","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-105.3977045 40.0949619)"
"2020","CO","Colorado","Moffat","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","15.3",,,"14.3","16.5","13,144","08081","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-108.2171545 40.6108644)"
"2020","AR","Arkansas","Perry","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.4",,,"16.1","18.6","10,327","05105","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-92.9268773 34.9463629)"
"2020","AR","Arkansas","Izard","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.8",,,"16.4","19.1","13,613","05065","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-91.9136252 36.0948792)"
"2020","AL","Alabama","Monroe","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","18.2",,,"17.2","19.2","20,459","01099","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-87.3832656 31.5803324)"
"2020","CO","Colorado","Hinsdale","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","14",,,"12.8","15.3","808","08053","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-107.3839736 37.8115187)"
"2020","AL","Alabama","Sumter","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","18.1",,,"17.0","19.1","12,225","01119","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-88.2000571 32.5974811)"
"2020","AR","Arkansas","Johnson","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.7",,,"16.5","19.0","26,513","05071","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-93.4663223 35.5733586)"
"2020","AR","Arkansas","Newton","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","17.3",,,"16.0","18.5","7,602","05101","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-93.2158984 35.9107423)"
"2020","CA","California","Placer","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","13.9",,,"13.0","14.9","402,950","06061","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-120.7227181 39.0620323)"
"2020","AL","Alabama","Clarke","BRFSS","Health Status","Mental health not good for >=14 days among adults aged >=18 years","%","Age-adjusted prevalence","18",,,"17.0","19.0","23,291","01025","HLTHSTAT","MHLTH","AgeAdjPrv","Mental Health","POINT (-87.8186244 31.6855211)"
