"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","AL","Alabama","Jefferson","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","18.0",,,"16.2","19.9","665,409","515,688","01073","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-86.896632302754 33.554557948471)"
"2022","AL","Alabama","Conecuh","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","20.8",,,"18.8","23.0","11,206","8,943","01035","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-86.9935445067511 31.4293022573494)"
"2022","AL","Alabama","Madison","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","17.1",,,"15.5","18.9","403,565","317,999","01089","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-86.550355969647 34.7630088775779)"
"2022","AR","Arkansas","Union","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","20.0",,,"18.1","22.1","37,752","28,789","05139","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-92.5973698311478 33.1712847934414)"
"2022","AR","Arkansas","Calhoun","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","22.1",,,"19.9","24.3","4,695","3,837","05013","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-92.5029413111612 33.5580587155721)"
"2022","AL","Alabama","Macon","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","20.5",,,"18.5","22.6","18,516","15,413","01087","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-85.6921198346528 32.3858126404866)"
"2022","AL","Alabama","Chilton","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","19.0",,,"17.2","21.0","45,884","35,069","01021","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-86.7185602930782 32.8479267319968)"
"2022","AL","Alabama","Fayette","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","22.5",,,"20.4","24.8","16,118","12,706","01057","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-87.7389050506601 33.7211713531213)"
"2022","AR","Arkansas","Fulton","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","24.2",,,"21.9","26.5","12,382","9,746","05049","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-91.817888079321 36.3816206347765)"
"2022","AR","Arkansas","Cross","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","21.8",,,"19.7","23.9","16,601","12,703","05037","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-90.7714945147511 35.2958747021642)"
"2022","CA","California","San Francisco","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","13.8",,,"12.4","15.1","808,437","697,737","06075","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-122.439681175401 37.7566838021847)"
"2022","AR","Arkansas","Grant","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","21.3",,,"19.3","23.4","18,160","14,212","05053","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-92.4234453390766 34.290047947646)"
"2022","AK","Alaska","Prince of Wales-Hyder","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","18.8",,,"16.8","20.6","5,650","4,434","02198","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-133.055155796378 55.8173059571036)"
"2022","AL","Alabama","Cherokee","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","20.0",,,"18.0","22.1","25,302","20,586","01019","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-85.6038430238838 34.1758355642538)"
