min_samples_leaf,max_features,holdout_rmse,holdout_mae,holdout_r2
1,sqrt,1.9798074811789155,1.6513039829302976,-0.01798474433189501
3,sqrt,2.004096348827539,1.6799995985049068,-0.04311584224370524
8,sqrt,2.0231074801036395,1.6965302688206476,-0.06299998715448707
15,sqrt,2.050955669085452,1.7171273428522522,-0.09246591096153334
1,0.7,2.0591190210557033,1.6754298719772394,-0.10117983126644381
1,0.5,2.059786599768543,1.6848009957325734,-0.10189396519719685
1,1.0,2.0645653818771437,1.6783036984352766,-0.10701276681546146
3,0.7,2.072914451078095,1.6941619393220133,-0.11598435433835763
3,0.5,2.078537399524502,1.7074882612770923,-0.12204696186886488
3,1.0,2.0795426781442954,1.6932729819346275,-0.12313257388730192
8,0.5,2.0899456494812636,1.719023171097465,-0.1343976858349385
8,0.7,2.0919870982831203,1.7133228559467537,-0.13661491654186886
8,1.0,2.0951979190935983,1.709423890807833,-0.14010658956929922
15,0.7,2.1025338186535785,1.7230866301412795,-0.14810425818384942
15,1.0,2.1029009564428947,1.7158423641421057,-0.14850524984172342
15,0.5,2.1099149251331957,1.7417520657649186,-0.15617942397581563
