method,params,clusters,noise_pct,silhouette_embedding,silhouette_scaled_features,calinski_harabasz
DBSCAN,"eps=0.15, min_samples=5",17,0.28520625889046947,-0.05002650153412373,-0.07191150186649357,
DBSCAN,"eps=0.15, min_samples=10",4,0.37055476529160736,0.11149193169845362,0.14449329473022915,
DBSCAN,"eps=0.15, min_samples=20",4,0.5298719772403984,0.11073024629236296,0.0029377645719390224,
DBSCAN,"eps=0.15, min_samples=35",3,0.7379089615931721,0.5662915276082687,0.043009708990723344,
DBSCAN,"eps=0.15, min_samples=50",1,0.8652204836415363,,,
DBSCAN,"eps=0.29, min_samples=5",13,0.17709815078236135,0.1550959487653688,-0.0003944936614117153,
DBSCAN,"eps=0.29, min_samples=10",2,0.2446657183499289,0.5071659795516057,0.217855981850328,
DBSCAN,"eps=0.29, min_samples=20",1,0.3026315789473685,,,
DBSCAN,"eps=0.29, min_samples=35",1,0.35384068278805125,,,
DBSCAN,"eps=0.29, min_samples=50",1,0.4153627311522048,,,
DBSCAN,"eps=0.43, min_samples=5",9,0.1155761024182077,0.40703497278600465,0.06577109935070022,
DBSCAN,"eps=0.43, min_samples=10",2,0.1699857752489331,0.38998807143082775,0.14413096094058472,
DBSCAN,"eps=0.43, min_samples=20",1,0.2379089615931721,,,
DBSCAN,"eps=0.43, min_samples=35",1,0.265647226173542,,,
DBSCAN,"eps=0.43, min_samples=50",1,0.2930298719772404,,,
DBSCAN,"eps=0.58, min_samples=5",10,0.07752489331436696,0.4046141725947965,0.08635761136099222,
DBSCAN,"eps=0.58, min_samples=10",5,0.12091038406827881,0.47486532160337963,0.08217604431300861,
DBSCAN,"eps=0.58, min_samples=20",2,0.1774537695590327,0.44771230360634834,0.22735292872913887,
DBSCAN,"eps=0.58, min_samples=35",1,0.22297297297297303,,,
DBSCAN,"eps=0.58, min_samples=50",1,0.2371977240398293,,,
DBSCAN,"eps=0.72, min_samples=5",8,0.05120910384068278,0.4754877868070306,0.15850563894734893,
DBSCAN,"eps=0.72, min_samples=10",1,0.09530583214793742,,,
DBSCAN,"eps=0.72, min_samples=20",1,0.14473684210526316,,,
DBSCAN,"eps=0.72, min_samples=35",1,0.19452347083926036,,,
DBSCAN,"eps=0.72, min_samples=50",1,0.20732574679943105,,,
DBSCAN,"eps=0.86, min_samples=5",8,0.0369843527738265,0.4861336181985117,0.23177300323426045,
